135	.
105	,
85	der
68	"
66	die
64	-
44	in
32	und
28	von
28	den
27	im
24	das
23	Der
21	noch
20	nicht
18	zu
18	für
18	auf
17	Die
16	In
15	mit
15	des
14	sagte
14	Nutzer
13	wird
13	sich
13	relativ
13	meine
13	ist
13	eine
13	Watchlist
13	Kurs
13	Differenz
13	%
12	auch
11	ein
11	dem
11	dass
11	aus
11	Unternehmen
11	NDR
11	Aktuelle
10	nach
10	es
10	am
10	Euro
10	Börsen-Audios
9	zur
9	wie
9	so
9	an
9	als
8	wir
8	wieder
8	werden
8	um
8	Prozent
8	Neuer
8	Braun
8	Amazon
8	:
7	sei
7	oder
7	mehr
7	einer
7	bei
7	Wirtschaft
7	Wir
7	Millionen
7	Das
7	Abschnitt
6	werde
6	weiter
6	vor
6	Video
5	wenn
5	man
5	kann
5	hat
5	einen
5	durch
5	bis
5	Zalando
5	Woche
5	Quartal
5	Nutzung
5	Handel
5	Evotec
5	Es
5	April
5	Altmaier
5	2020
4	würden
4	will
4	weil
4	sollten
4	sein
4	sehr
4	neue
4	hatte
4	haben
4	ersten
4	alle
4	aber
4	USA
4	Sicht
4	Menschen
4	Ländern
4	Lockerungen
4	Lockerung
4	HDax-Titel
4	Frankreich
4	Corona-Krise
4	Alle
4	AGB
4	16.
4	)
4	(
3	über
3	Öffnung
3	zum
3	wirtschaftlichen
3	tief
3	teilte
3	stufenweise
3	stark
3	sollen
3	seine
3	seien
3	riskieren
3	nur
3	nie
3	natürlich
3	müssen
3	können
3	insbesondere
3	er
3	einem
3	dieser
3	diese
3	demnach
3	dann
3	damit
3	beim
3	anderen
3	ab
3	Wochen
3	Weile
3	Umsatz
3	Uhr
3	Tagesschau
3	Schüler
3	Schritte
3	S&P
3	Punkte
3	Player
3	Nach
3	März
3	Ind.
3	Ich
3	Geschäfte
3	Fed
3	Drägerwerk
3	Dax
3	Coronavirus
3	Auch
3	Angebot
3	500
3	04.
2	überlassene
2	|
2	zuvor
2	worden
2	wollen
2	wirtschaftliche
2	weitere
2	wegen
2	war
2	vorliegenden
2	vom
2	viele
2	verwenden
2	verteidigt
2	unter
2	unser
2	stieg
2	solle
2	sind
2	selbst
2	seit
2	seinem
2	schrittweise
2	prüfen
2	nächsten
2	nun
2	müsse
2	möglichst
2	macht
2	lockern
2	liegt
2	lernen
2	künftig
2	kritisiert
2	kleine
2	kein
2	jetzt
2	jeder
2	innerhalb
2	hätten
2	hinaus
2	gut
2	gestattet
2	gemacht
2	gehen
2	gegen
2	gefordert
2	gebe
2	eventuell
2	etwa
2	erste
2	erst
2	erklärte
2	erkennt
2	eines
2	eigenen
2	dürften
2	diesem
2	deutlich
2	darüber
2	dank
2	daher
2	bleiben
2	bin
2	betonte
2	berichtet
2	anlaufen
2	anhand
2	Zuvor
2	Zur
2	Ziel
2	Zeit
2	Zahlen
2	Wirtschaftswoche
2	Wiederaufnahme
2	Werbung
2	Vorjahr
2	Vorgehen
2	Vorankündigung
2	Volkswagen
2	Viele
2	Verwertungsgesellschaften
2	Verkauf
2	VZ
2	Und
2	US-Dollar
2	Stand
2	Sie
2	Schwung
2	Rückkehr
2	Rose
2	Rahmen
2	Produktion
2	Problemfall
2	Politik
2	Players
2	Online-Auftritt
2	Nutzungsbefugnis
2	Normalität
2	Nasdaq
2	Nachmittag
2	Nachfrage
2	Möglichkeit
2	Milliarden
2	Meldung
2	Meinung
2	Mai
2	Leon
2	Kritik
2	Kanzleramtsminister
2	Jones
2	Jahr
2	Inhalte
2	Hoffnung
2	Helge
2	Gleichzeitig
2	Geschäften
2	Geduld
2	Fußgängerzone
2	Ende
2	Embedding
2	Eine
2	Einbruch
2	Ein
2	Ebit
2	Dreyer
2	Dow
2	Donnerstag
2	Dienstag
2	Deutschland
2	Dax-Chart
2	Darüber
2	Damit
2	Corona-Schutzmaßnahmen
2	Corona-Pandemie
2	Corona-Maßnahmen
2	Bund
2	Brokerhaus
2	Beschlüsse
2	Bereich
2	Bareiß
2	Aus
2	Angestellten
2	Aktivitäten
2	Aktivität
2	Aber
2	225
2	19.290,20
2	11,6
2	1,4
2	/
1	„
1	“
1	übertreffen
1	übernächsten
1	überlasten
1	öffnen
1	äußerte
1	ändern
1	Überleben
1	Ärzten
1	Ähnlich
1	zwischen
1	zwei
1	zustimmt
1	zusammenarbeiten
1	zurückkehrten
1	zurück
1	zufolge
1	zudem
1	zahlen
1	zaghaft
1	wäre
1	wolle
1	wissen
1	wirklich
1	widersprach
1	wichtig
1	wetten
1	wesentlicher
1	werbefrei
1	weniger
1	weltweite
1	weiterhin
1	weiterer
1	weiteren
1	weder
1	was
1	wahrscheinlich
1	vorsichtigen
1	vorsichtig
1	vornehmen
1	vorläufiger
1	vorlegen
1	vorherigen
1	vorherige
1	vorerst
1	vorbörslichen
1	vorbehaltlich
1	vollständigen
1	voller
1	volle
1	voll
1	vier
1	viel
1	veröffentlicht
1	verändern
1	verzeichnete
1	verwies
1	verteidigte
1	verstößt
1	verstehe
1	verschiedenen
1	verschafft
1	verloren
1	verlor
1	vergangenen
1	verfügbar
1	vereinbarten
1	verbucht
1	verantwortliche
1	verantwortlich
1	urheber-
1	unverändert
1	unverschlüsselt
1	untersagt
1	unternehme
1	unterliegt
1	unterbrechen
1	unsicher
1	uns
1	unmittelbar
1	unentgeltlich
1	umfassende
1	trübte
1	trübe
1	trifft
1	tatsächlich
1	tagesschau.de
1	sämtliche
1	stärker
1	stufenweisen
1	strategischen
1	strategische
1	stellt
1	stellen
1	stabilisiert
1	stabilisieren
1	spürt
1	spüren
1	sowohl
1	sowas
1	sortiert
1	sonstigen
1	sonstige
1	soll
1	sitzen
1	sinkenden
1	signalisierte
1	sie
1	setzt
1	senken
1	seinen
1	sehen
1	schwächer
1	schwierigen
1	schwerste
1	schrumpfte
1	schrittweisen
1	schon
1	schnell
1	schnallen
1	schlägt
1	schickt
1	sank
1	sagten
1	sagen
1	sackte
1	rund
1	rtr
1	roten
1	ringenden
1	richtige
1	richtig
1	rheinland-pfälzische
1	rettenden
1	redaktionelle
1	rechtlichen
1	rechnen
1	realtime
1	prüfe
1	präsentiert
1	presserechtlichen
1	praktisch
1	pessimistisch
1	passiert
1	operative
1	online-typische
1	ohne
1	offline
1	offenbar
1	ob
1	nächste
1	notwendigen
1	notwendig
1	normal
1	niemand
1	niedrigeres
1	nicht-exklusiv
1	neujustiert
1	neuen
1	neu
1	müssten
1	möglich
1	möchte
1	musste
1	muss
1	morgenmagazin
1	morgen
1	momentan
1	mittelständische
1	mittelbar
1	minus
1	meta.tagesschau.de
1	meisten
1	mehrwöchiger
1	medien-
1	mal
1	machen
1	lösen
1	locker
1	lizenzieren
1	liquiden
1	liegen
1	leicht
1	laut
1	laufen
1	lassen
1	langen
1	kündigte
1	könne
1	kurz
1	kritisch
1	konzerneigenen
1	konzentrierten
1	kontinuierlich
1	komplex
1	kommt
1	kommenden
1	kommen
1	knickte
1	kleinere
1	kleinen
1	kennen
1	keiner
1	keinen
1	keine
1	kamen
1	juristisch
1	jedoch
1	jederzeit
1	jeden
1	jedem
1	irgendwie
1	irgendeiner
1	insgesamt
1	inhaltlich
1	infolge
1	immer
1	ihren
1	ihrem
1	ihre
1	ihr
1	höheren
1	höher
1	häufig
1	hält
1	hohe
1	hofft
1	hochzufahren
1	hinbekommen
1	hier
1	heute
1	hergestellt
1	herausstellen
1	herauskommt
1	heißt
1	heftiger
1	hatten
1	hart
1	halten
1	habe
1	guter
1	guten
1	gute
1	großen
1	ging
1	geänderten
1	gezielten
1	gewinnt
1	gesundheitliche
1	gestorben
1	gestern
1	gestellt
1	gestartet
1	gestalten
1	gesorgt
1	geschlossen
1	gerutscht
1	gerne
1	gering
1	gerade
1	geplante
1	genug
1	genau
1	gelisteten
1	gehöre
1	geht
1	gehe
1	gefüllte
1	gefühlt
1	gefunden
1	gefragt
1	gefasste
1	gefallen
1	geeinigt
1	geben
1	garantiert
1	gar
1	ganzen
1	gab
1	fürchtet
1	fünf
1	führender
1	führende
1	früher
1	frühen
1	früh
1	freien
1	freie
1	frei
1	finden
1	fiel
1	fest
1	fast
1	falsche
1	extrem
1	eventuellen
1	europäischen
1	eröffne
1	erwirtschaftet
1	erwarten
1	erstmals
1	erstatten
1	erreicht
1	erhöht
1	erhofft
1	erheben
1	enttäuscht
1	entstehende
1	entsprechenden
1	endet
1	einzelnen
1	einmal
1	einläuten
1	eingestellt
1	eingesetzte
1	eingeräumt
1	dürfte
1	dürfen
1	durchhalten
1	dringende
1	dreiwöchige
1	dpa
1	dort
1	doppelt
1	doch
1	direkt
1	diesen
1	dicht
1	deutschen
1	deutsche
1	deshalb
1	derzeit
1	denken
1	denen
1	davon
1	dauern
1	dargestellt
1	darf
1	darauf
1	dagewesen
1	dafür
1	da
1	bzw.
1	bringen
1	breitet
1	breiter
1	brauchen
1	brachen
1	blieb
1	bleibt
1	bislang
1	bisher
1	binnen
1	bieten
1	bezüglich
1	bezifferte
1	betrug
1	betrachten
1	bestätigten
1	bestehenden
1	bessere
1	besser
1	beschleunigen
1	berichten
1	bereits
1	bereitgestellten
1	bereinigten
1	bekannt
1	befragten
1	beflügelt
1	befindet
1	beendet
1	bedroht
1	bedarf
1	beantragten
1	beantragt
1	beachteten
1	auszusetzen
1	auszuarbeiten
1	ausgesetzt
1	ausgehen
1	ausgefallen
1	ausdrücklich
1	aufnehmen
1	anreizen
1	ankündigen
1	angewiesen
1	angewendet
1	angekündigten
1	angedrohte
1	anfahren
1	amerikanischen
1	amerikanische
1	alles
1	allen
1	adhoc-Meldung
1	abzuhalten
1	absehbarer
1	abschreiben
1	abrupt
1	abhängig
1	abgespielt
1	abbauen
1	Zähler
1	Zwangspause
1	Zuwachs
1	Zustimmung
1	Zum
1	Zulieferwerke
1	Zukaufs
1	Zugänglichmachung
1	Zeitweise
1	Zeitung
1	Zeitpunkt
1	Zeichen
1	Zahl
1	York
1	Xetra
1	XS
1	XL
1	Won
1	Wollen
1	Wolfsburgern
1	Wolfsburg
1	Wirtschaftsverbände
1	Wirtschaftsminister
1	Widerrufung
1	Wettbewerbsfähigkeit
1	Werte
1	Werke
1	Werbeformen
1	Werbeaussagen
1	Wenn
1	Welt
1	Weiteren
1	Wegen
1	Weg
1	Warenbestand
1	Wachstum
1	Vormonat
1	Vorgaben
1	Voraussetzungen
1	Vom
1	Videoplayers
1	Vertreter
1	Verstoß
1	Verschlechterung
1	Versandgeschäft
1	Versandapotheke
1	Verlängerung
1	Verlust
1	Vereinigten
1	Verbreitung
1	Verbandspräsident
1	Verbandes
1	Verantwortung
1	VW-Bänder
1	Unterstützung
1	Unterrichts
1	Unterdessen
1	Unser
1	Universität
1	University
1	Unionsfraktionschef
1	Unabhängig
1	Umsatzwachstum
1	Umfeld
1	US-Regionen
1	US-Notenbank
1	US-Häusermarkt
1	US-Erstanträgen
1	US-Einzelhandelsumsätze
1	US-Bundesstaat
1	Trump
1	Toten
1	Tokio
1	Tiefpunkt
1	Thomas
1	Therapien
1	Teilen
1	Technologiebörse
1	Tagestermine
1	Tageschau
1	Tages
1	Sung
1	Stunden
1	Straße
1	Strafe
1	Stopp
1	Stimmungsdaten
1	Stimmung
1	Steuern
1	Stefan
1	Starke
1	Staaten
1	Splitscreen
1	Spillner
1	Spezialisten
1	Spanne
1	Sommerpause
1	Sohn
1	Sofern
1	Sobald
1	Sicherheitspläne
1	Sicherheit
1	Selbstständige
1	Sehr
1	Schülerinnen
1	Schwierigkeit
1	Schweizer
1	Schutz
1	Schulöffnung
1	Schuljahr
1	Schulen
1	Schule
1	Schulbetriebs
1	Schnitt
1	Schließlich
1	Schlag
1	Salzgitter
1	Sache
1	Sachargument
1	Saarbrücker
1	ST
1	SPD
1	SDax-Unternehmen
1	S
1	Rodda
1	Rights
1	Richtlinien
1	Rezession
1	Reuters
1	Restriktionen
1	Rekordtief
1	Reinhold
1	Regierung
1	Rechte
1	Recht
1	Ralph
1	Q1
1	Punktes
1	Punkten
1	Publikumsmagnete
1	Präsident
1	Programmangebot
1	Professor
1	Produktionskapazitäten
1	Prioritäten
1	Pre-Roll-
1	Praxisbetrieb
1	Praxen
1	Post-Roll-Darstellungen
1	Pläne
1	Peter
1	Personen
1	Pausenhof
1	Pausenbetrieb
1	Partnerschaft
1	Pandemie-Zahlen
1	Pandemie
1	Overlay
1	Online-Auftritts
1	Ohoven
1	Oase
1	Nutzungserlaubnis
1	Nutzungsbedingungen
1	Nikkei-Index
1	Nikkei
1	New
1	Neuinfizierten-Rate
1	Nebenwirkung
1	Nanowirkstoffen
1	Nanomedizin
1	Nahrungsmitteln
1	Nachrichtenagentur
1	Nachrichten
1	Märkten
1	Morgen
1	Monaten
1	Monat
1	Modehändler
1	Mode
1	Mittwochabend
1	Mittelstandsbeauftragte
1	Mittel
1	Mitarbeiterinnen
1	Mitarbeiter
1	Mit
1	Mio.
1	Ministerpräsidentin
1	Million
1	Milliarde
1	Milan
1	Medizintechnik
1	Medikamenten
1	Mediengruppe
1	Maßnahmen
1	Maß
1	Marymount
1	Marktbericht
1	Marktanalyst
1	Markets
1	Marken
1	Marke
1	Mario
1	Managementsysteme
1	Malu
1	ME
1	M
1	Lübecker
1	Lösung
1	Länge
1	Länder
1	Läden
1	Loyola
1	Los
1	Logos
1	Logo
1	Leon-Nanodrugs
1	Langfristig
1	Land
1	Lage
1	L
1	Kündigung
1	Kyle
1	Kursverluste
1	Kultusministerkonferenz
1	Krise
1	Kosten
1	Konzept
1	Kontaktsperre
1	Konjunkturpaket
1	Konjunkturbericht
1	Komponentenwerken
1	Kommentierung
1	Kommentare
1	Kleinen
1	Klassenräume
1	Kenntnis
1	Kassel
1	Kanzleramtschef
1	Johns
1	Januar
1	Jahrgänge
1	Jahren
1	Investorenkonsortium
1	Investitionen
1	Investition
1	Internetversandhändler
1	Insolvenzwelle
1	Insider
1	Insbesondere
1	Innenstädten
1	Innenstädte
1	Infektionsraten
1	Infektionsgeschehen
1	Infektion
1	Industrieproduktion
1	Industrie
1	Industrial
1	Indikationen
1	Inanspruchnahme
1	Impuls
1	Im
1	Ihre
1	IG
1	Höchstwert
1	Hygieneprodukten
1	Hopkins
1	Hause
1	Hatten
1	Hannover
1	Handlungsmöglichkeiten
1	Handelsverband
1	Handelsblatt
1	Handelsbeginn
1	Handels
1	Handeln
1	Hamburger
1	Halbjahresergebnissen
1	HDE-Hauptgeschäftsführer
1	Güter
1	Gürtel
1	Gründen
1	Grundschule
1	Großveranstaltungen
1	Großteil
1	Großen
1	Große
1	Gewinnrückgang
1	Gewinn
1	Gesundheitssystem
1	Gesundheitsschutz
1	Gesichtspunkt
1	Geschäftstätigkeit
1	Geschäftsausblick
1	Geschäft
1	Gerichtsurteil
1	Gerichtsentscheidung
1	Gericht
1	Genusscheinserien
1	Genth
1	Fällen
1	Fälle
1	Funke
1	Frankfurter
1	Franken
1	Forderungen
1	Folgen
1	Folge
1	Fitnessprogramm
1	Finanzielle
1	Finanzchef
1	Fertigung
1	Februar
1	Familienunternehmer
1	Fall
1	Fahrzeug-Werken
1	Experten
1	Erkenntnisse
1	Erhalts
1	Ergebnisniveau
1	Ergebnis
1	Erfahrungen
1	Epidemie
1	Entwicklung
1	Entscheidungen
1	Entgelt
1	Enno
1	Empire-State-Index
1	Emden
1	Einverstanden
1	Einschätzung
1	Einschränkungen
1	Eingriffe
1	Einbindung
1	Eilentscheidung
1	Eben-Worlée
1	Durststrecke
1	Durch
1	Dräger
1	Dritten
1	Donald
1	Doc-Morris-Mutter
1	Diskussionen
1	Digitalisierung
1	Digital
1	Devisenmarkt
1	Deutschlandfunk
1	Details
1	Deswegen
1	Deshalb
1	Dennoch
1	Den
1	Dem
1	Dazu
1	Daten
1	Daimler
1	Dagegen
1	Dafür
1	Cutkovic
1	Coronavirus-Pandemie
1	Coronas-Krise
1	Corona-Effekt
1	Corona
1	Composite-Index
1	Composite
1	Charttechnik
1	Chancen
1	CDU-Politiker
1	CDU
1	Bürokratie
1	Börsenschluss
1	Börsen
1	Bundeswirtschaftsministerium
1	Bundeswirtschaftsminister
1	Bundesverbandes
1	Bundespolitiker
1	Brokern
1	Brinkhaus
1	Braunschweig
1	Book
1	Blick
1	Biotech-Unternehmen
1	Bezug
1	Betriebswirtschaft
1	Betrieben
1	Betriebe
1	Beteiligungsvereinbarung
1	Bestandteil
1	Besserung
1	Beschränkungen
1	Beschränkung
1	Bereits
1	Bereichen
1	Belastungen
1	Belastet
1	Bekämpfung
1	Beige
1	Beginnend
1	Bedingungen
1	Banken
1	BVMW
1	AxiTrader
1	Auswirkungen
1	Aussicht
1	Ausmaß
1	Auslieferung
1	Ausblick
1	August
1	Aufträge
1	Auftragseingänge
1	Aufsichtsrat
1	Aufschluss
1	Aufgabe
1	Audios
1	Atem
1	Archiv
1	Arbeitsplätzen
1	Arbeitsplatz
1	Arbeitsmarktdaten
1	Arbeitslosenhilfe
1	Anteilseigner
1	Anleger
1	Anlass
1	Anklicken
1	Angeles
1	Angebotes
1	Anfang
1	Analysten
1	Analyst
1	Amerika
1	Am
1	Aktienmarkt
1	AbschnittCorona-Maßnahmen
1	Abläufe
1	AUTO
1	ARD-Morgenmagazin
1	9:30
1	90
1	88,50
1	84,00
1	8.393,18
1	8.393
1	630.000
1	6,4
1	59,60
1	426,6
1	42,42
1	40
1	4.
1	31
1	30er
1	30.
1	27.
1	24
1	23.704,08
1	23.504
1	23,43
1	20
1	2.808,11
1	2.783
1	2.494
1	2.303
1	2.155,00
1	2,2
1	1946
1	12,3
1	119,14
1	110
1	10.425
1	10.421,62
1	10.400
1	10,7
1	10,1
1	1,9
1	1,5
1	1,39
1	1,3
1	1,09
1	1,0872
1	09:30
1	08:41
1	0,6
1	-Ergebnisse
1	-1,44
1	-1,33
1	-1,29
1	-0,34
1	+5,30
1	+5,26
1	+2,94
1	+2,91
1	+2,53
1	+2,23
1	+1,38
1	+0,87
1	+0,81
